Detector Coordinates (mm)
       X       Y       Z
    3200     -50   -1500
    4000     -50   -1500
    2600   -1100    1600
    3200   -1100    1600
    4000   -1100    1600
    2600   -1100     825
    3200   -1100     825
    4000   -1100     825
    2600   -1100      50
    3200   -1100      50
    4000   -1100      50
    2600   -1100    -725
    3200   -1100    -725
    4000   -1100    -725
    2600   -1100   -1500
    3200   -1100   -1500
    4000   -1100   -1500
    2600   -2150    1600
    3200   -2150    1600
    4000   -2150    1600
    2600   -2150     825
    3200   -2150     825
    4000   -2150     825
    2600   -2150      50
    3200   -2150      50
    4000   -2150      50
    2600   -2150    -725
    3200   -2150    -725
    4000   -2150    -725
    2600   -2150   -1500
    3200   -2150   -1500
    4000   -2150   -1500
    2600   -3200    1600
    3200   -3200    1600
    4000   -3200    1600
    2600   -3200     825
    3200   -3200     825
    4000   -3200     825
    2600   -3200      50
    3200   -3200      50
    4000   -3200      50
    2600   -3200    -725
    3200   -3200    -725
    4000   -3200    -725
    2600   -3200   -1500
    3200   -3200   -1500
    4000   -3200   -1500

